430,Apiúna,42
431,Araputanga,51
432,Arabutã,42
433,Barra de Guabiraba,26
434,Alagoa,31
435,Bacuri,21
436,Álvares Machado,35
437,Mirante da Serra,11
438,Aroeiras,25
439,Barcarena,15
440,Andaraí,29
441,Campo Grande,24
442,Arroio Grande,43
443,Capela,28
444,Casimiro de Abreu,33
445,Anicuns,52
446,Araripe,23
447,Araquari,42
448,Codajás,13
449,Cajueiro,27
450,Cariacica,32
451,Arenápolis,51
452,Aragominas,17
453,Barreiras do Piauí,22
454,Antônio Olinto,41
455,Bacurituba,21
456,Assunção,25
457,Andorinha,29
458,Campestre,27
459,Balsas,21
460,Álvaro de Carvalho,35
461,Monte Negro,11
462,Baía da Traição,25
463,Belém,15
464,Angical,29
465,Baía Formosa,24
466,Arvorezinha,43
467,Carira,28
468,Conceição de Macabu,33
469,Aparecida de Goiânia,52
470,Aratuba,23
471,Araranguá,42
472,Eirunepé,13
473,Campo Alegre,27
474,Castelo,32
475,Aripuanã,51
476,Barro Duro,22
477,Apucarana,41
478,Barreiros,26
479,Albertina,31
480,Nova União,11
481,Parecis,11
482,Belterra,15
483,Baraúna,24
484,Aparecida do Rio Doce,52
485,Pimenteiras do Oeste,11
486,Primavera de Rondônia,11
487,São Felipe D'Oeste,11
488,São Francisco do Guaporé,11
489,Seringueiras,11
490,Bananeiras,25
491,Benevides,15
492,Anguera,29
493,Barcelona,24
494,Augusto Pestana,43
495,Carmópolis,28
496,Cordeiro,33
497,Aporé,52
498,Arneiroz,23
499,Armazém,42
500,Envira,13
501,Campo Grande,27
502,Colatina,32
503,Batalha,22
504,Arapongas,41
505,Belém de Maria,26
506,Além Paraíba,31
507,Bandeirantes,50
508,Barão de Grajaú,21
509,Alvinlândia,35
510,Baraúna,25
511,Áurea,43
512,Bela Vista do Piauí,22
513,Teixeirópolis,11
514,Belém do Piauí,22
515,Barra de Santana,25
516,Bom Jesus do Tocantins,15
517,Bonito,15
518,Antas,29
519,Bento Fernandes,24
520,Bagé,43
521,Cedro de São João,28
522,Duas Barras,33
523,Araçu,52
524,Assaré,23
525,Arroio Trinta,42
526,Fonte Boa,13
527,Canapi,27
528,Conceição da Barra,32
529,Barão de Melgaço,51
530,Beneditinos,22
531,Arapoti,41
532,Belém do São Francisco,26
533,Alfenas,31
534,Barra do Corda,21
535,Americana,35
536,Theobroma,11
537,Barra de Santa Rosa,25
538,Alfredo Vasconcelos,31
539,Balneário Pinhal,43
540,Bodó,24
541,Barão,43
542,Arvoredo,42
543,Guajará,13
544,Arapuã,41
545,Antônio Cardoso,29
546,Bom Jesus,24
547,Barão de Cotegipe,43
